2024-11-05T13:35:41.474Z - INFO - Server running on http://localhost:3030
5.11.2024, 16:21:27 - INFO - Request was made to: | / 
5.11.2024, 16:21:27 - INFO - Request was made to: | /assets/index-0NDgKCzU.js 
5.11.2024, 16:21:27 - INFO - Request was made to: | /assets/index-CBfVBVwL.css 
5.11.2024, 16:21:27 - INFO - Request was made to: | /assets/ATS3-89l2BPz7.svg 
5.11.2024, 16:21:27 - INFO - Request was made to: | /vite.svg 
5.11.2024, 16:21:30 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:21:30 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:21:30 - DEBUG - Getting Toys with filterBy: | {"txt":"","status":null,"labels":[]} 
5.11.2024, 16:22:21 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:22:21 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:22:21 - DEBUG - Getting Toys with filterBy: | {"txt":"","status":null,"labels":[]} 
5.11.2024, 16:44:10 - INFO - Request was made to: | /toy 
5.11.2024, 16:44:10 - INFO - Request was made to: | /assets/index-0NDgKCzU.js 
5.11.2024, 16:44:10 - INFO - Request was made to: | /assets/index-CBfVBVwL.css 
5.11.2024, 16:44:10 - INFO - Request was made to: | /assets/ATS3-89l2BPz7.svg 
5.11.2024, 16:44:10 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:44:10 - DEBUG - Getting Toys with filterBy: | {"txt":"","status":null,"labels":[]} 
5.11.2024, 16:44:10 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:44:10 - INFO - Request was made to: | /vite.svg 
5.11.2024, 16:48:51 - INFO - Request was made to: | /toy 
5.11.2024, 16:48:51 - INFO - Request was made to: | /assets/index-0NDgKCzU.js 
5.11.2024, 16:48:51 - INFO - Request was made to: | /assets/index-CBfVBVwL.css 
5.11.2024, 16:48:51 - INFO - Request was made to: | /assets/ATS3-89l2BPz7.svg 
5.11.2024, 16:48:51 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:48:51 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:48:51 - DEBUG - Getting Toys with filterBy: | {"txt":"","status":null,"labels":[]} 
5.11.2024, 16:48:51 - INFO - Request was made to: | /vite.svg 
5.11.2024, 16:48:52 - INFO - Request was made to: | /toy 
5.11.2024, 16:48:52 - INFO - Request was made to: | /assets/index-CBfVBVwL.css 
5.11.2024, 16:48:52 - INFO - Request was made to: | /assets/index-0NDgKCzU.js 
5.11.2024, 16:48:52 - INFO - Request was made to: | /assets/ATS3-89l2BPz7.svg 
5.11.2024, 16:48:52 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:48:52 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:48:52 - DEBUG - Getting Toys with filterBy: | {"txt":"","status":null,"labels":[]} 
5.11.2024, 16:48:52 - INFO - Request was made to: | /vite.svg 
5.11.2024, 16:49:29 - INFO - Request was made to: | /toy 
5.11.2024, 16:49:29 - INFO - Request was made to: | /assets/index-0NDgKCzU.js 
5.11.2024, 16:49:29 - INFO - Request was made to: | /assets/index-CBfVBVwL.css 
5.11.2024, 16:49:29 - INFO - Request was made to: | /assets/ATS3-89l2BPz7.svg 
5.11.2024, 16:49:29 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:49:29 - DEBUG - Getting Toys with filterBy: | {"txt":"","status":null,"labels":[]} 
5.11.2024, 16:49:29 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:49:29 - INFO - Request was made to: | /vite.svg 
5.11.2024, 16:51:37 - INFO - Request was made to: | /toy 
5.11.2024, 16:51:37 - INFO - Request was made to: | /assets/index-0NDgKCzU.js 
5.11.2024, 16:51:37 - INFO - Request was made to: | /assets/index-CBfVBVwL.css 
5.11.2024, 16:51:37 - INFO - Request was made to: | /assets/ATS3-89l2BPz7.svg 
5.11.2024, 16:51:37 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:51:37 - DEBUG - Getting Toys with filterBy: | {"txt":"","status":null,"labels":[]} 
5.11.2024, 16:51:37 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
5.11.2024, 16:51:37 - INFO - Request was made to: | /vite.svg 
5.11.2024, 16:51:38 - INFO - Connected to MongoDB: toy_db 
5.11.2024, 16:53:58 - INFO - Request was made to: | /toy 
5.11.2024, 16:53:58 - INFO - Request was made to: | /assets/index-0NDgKCzU.js 
5.11.2024, 16:53:58 - INFO - Request was made to: | /assets/index-CBfVBVwL.css 
5.11.2024, 16:53:58 - INFO - Request was made to: | /assets/ATS3-89l2BPz7.svg 
5.11.2024, 16:53:58 - INFO - Request was made to: | /api/toy/?name=&pageIdx=0&pageSize=6 
